id_n,Year,sector_code,Sector_long,Sector_short,QIP_flag,Spl_depr_flag,mintax_flag,Assets,Turnover,Age_2023,Audit_flag,Legal_form,assets,Oper_rev,Sub_rev,Other_rev,Op_wdv,Add_assets,Dispose_assets,Add_assets_spl,profit_before_tax,Donations_grants,non_ded_exp,unrecorded_inc,dec_provision,loss_disposal,other_ded_exp,dividends,capgain_disp_assets,other_inc,charity_cont,int_exp,int_inc,e41,depr,accum_inc,accum_exp,Loss_lag1,Loss_lag2,Loss_lag3,Loss_lag4,Loss_lag5,Loss_lag6,Loss_lag7,Loss_lag8,Loss_lag9,Loss_lag10,weight
23,2022,620,Software publishing,2,0,0,1,22411182686,8716639606,3,N,0,22411182686,8702975435,0,13664171,0,0,0,0,266077431,0,144027998,0,29566567,0,0,0,0,0,0,0,13426430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,2022,410,CONSTRUCTION,3,0,0,0,1074045909,3226686700,5,N,1,1074045909,3226686700,0,0,25312500,0,0,0,244070020,0,9328125,0,0,0,0,0,0,0,0,0,0,0,6328125,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2022,620,Software publishing,2,0,0,0,32631211,0,7,N,0,32631211,0,0,0,0,0,0,0,-25473832,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23092200,23011000,18212700,12911300,25473832,0,0,0,0,0,1
26,2022,651,Insurance and pension funding,5,0,0,0,37643498963,672180202,3,Y,0,37643498963,580507416,0,91672786,0,0,0,0,-3830043252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2022,781,Employment activities,2,0,0,1,6523181,15399639,2,N,0,6523181,15399639,0,0,0,0,0,0,-76086400,0,4106913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34136006,0,0,0,0,0,0,0,0,0,1
28,2022,473,"Sale of solid, liquid, and gaseous fuels and related products",3,0,0,1,132417376,197306813,8,N,1,132417376,197306813,0,0,543049,0,0,0,-33405132,0,11113553,0,0,0,0,0,0,0,0,0,0,0,7534422,0,0,1689569,21051214,0,32972756,73613477,0,0,0,0,0,1
29,2022,712,Architectural and engineering activities; technical testing and analysis,2,0,0,1,59843650,142916030,4,N,0,59843650,142916030,0,0,533000,0,0,0,25187418,0,0,0,0,0,0,0,0,0,0,0,0,-104955532,0,0,0,5008011,80114874,19832647,0,0,0,0,0,0,0,1
30,2022,551,Accommodation,3,0,0,0,797845000,0,1,N,1,797845000,0,0,0,0,0,0,0,-2155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,2022,464,Import-export of food and non-alcoholic beverages,2,0,0,0,52445614,113035606,3,N,0,52445614,113035606,0,0,661213,0,0,0,8545592,0,4969518,0,0,0,0,0,0,0,0,0,0,0,330606,0,0,0,0,0,0,0,0,0,0,0,0,1
32,2022,641,Financial service activities,2,0,0,0,23841267822,1050046447,5,Y,0,23841267822,1050046447,0,0,564176156,20149276,0,0,-1120896838,0,283770463,0,0,0,0,0,0,0,0,0,0,-1829807815,232934332,0,0,711227903,68897806,106248893,127379640,0,0,0,0,0,0,1
33,2022,681,Real estate activities,2,0,0,1,187823210,295536008,6,N,0,187823210,295536008,0,0,17499121,8554175,0,0,-37795521,0,7122583,0,0,0,0,0,0,0,0,0,0,0,7122583,0,0,19246839,79233436,15900801,0,48581538,0,0,0,0,0,1
34,2022,463,Import-export of food and non-alcoholic beverages,2,0,0,1,208912513,678504696,6,N,0,208912513,678504696,0,0,550648,0,0,0,-27356600,0,275304,0,0,0,0,0,0,0,0,0,0,0,275304,0,0,275941659,0,0,0,0,0,0,0,0,0,1
35,2022,466,Import-export of food and non-alcoholic beverages,3,0,0,0,29600860,10128,1,N,0,29600860,0,0,10128,0,0,0,0,-19554144,0,1173345,0,0,0,0,0,0,0,0,0,10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2022,591,"Motion picture, video and, sound and music publishing activities",2,0,0,0,166112100,0,6,N,0,166112100,0,0,0,0,0,0,0,-8567250,0,0,0,0,0,0,0,0,0,0,0,0,-25320650,0,0,0,8520600,8545050,1200000,6053800,7055000,0,0,0,0,0,1
37,2022,466,Import-export of food and non-alcoholic beverages,3,0,0,0,136831392,430016000,6,N,0,136831392,430016000,0,0,5242880,0,0,0,24199980,0,5938560,0,0,0,0,0,0,0,0,0,0,0,1368400,0,0,0,0,0,0,0,0,0,0,0,0,1
38,2022,464,Import-export of food and non-alcoholic beverages,2,0,0,1,1016613034,77646620,1,N,0,1016613034,77646620,0,0,20152715,0,0,0,-239361351,0,2026634,0,0,0,0,0,0,0,0,0,0,0,7312821,0,0,0,0,0,0,0,0,0,0,0,0,1
39,2022,683,Real Estate Development,2,0,0,0,316301580,0,2,N,0,316301580,0,0,0,0,0,0,0,-49512613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34185807,0,0,0,0,0,0,0,0,0,1
40,2022,421,CONSTRUCTION,3,0,0,0,566361128,1543787547,4,N,1,566361128,1543787547,0,0,18604687,0,0,0,156476575,0,5651172,0,0,0,0,0,0,0,0,0,0,0,4651172,0,0,0,0,0,0,0,0,0,0,0,0,1
41,2022,475,Sale of computers and electronic equipment,2,0,0,0,2848186,6604300,3,N,0,2848186,5291020,0,1313280,568828,0,0,0,-7933437,0,142207,0,0,0,0,0,0,0,0,0,0,-17251142,142207,0,0,9160588,7915703,0,0,0,0,0,0,0,0,1
42,2022,492,Transport,2,0,0,0,243168278,0,2,N,0,243168278,0,0,0,0,28911313,0,0,-62979756,0,12391923,0,0,0,0,0,0,0,0,0,0,0,11434543,0,0,92963760,0,0,0,0,0,0,0,0,0,1
43,2022,465,Import-export of food and non-alcoholic beverages,2,0,0,1,359299154,157372984,3,N,0,359299154,157372984,0,0,162634080,0,0,0,-74512676,0,22258807,0,0,0,0,0,0,0,0,0,0,0,32526816,0,0,0,0,0,0,0,0,0,0,0,0,1
44,2022,351,"Electric power generation, transmission and distribution",3,0,0,0,906739397,412481053,1,N,1,906739397,412481053,0,0,942975932,0,0,0,-194697728,0,47669917,0,0,0,0,0,0,0,0,0,0,0,190679669,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2022,410,CONSTRUCTION,2,0,0,0,2851023,0,1,N,0,2851023,0,0,0,0,0,0,0,-13616978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,2022,949,Activities of membership organizations,2,1,0,0,185265,1127823331,2,N,0,185265,0,0,1127823331,0,0,0,0,185265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2022,682,Real estate activities,3,0,0,0,12215050,0,4,N,0,12215050,0,0,0,0,0,0,0,-23300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23165800,23212000,8107150,0,0,0,0,0,0,0,1
48,2022,464,Import-export of food and non-alcoholic beverages,2,0,0,0,1471333,0,3,N,0,1471333,0,0,0,0,0,0,0,-17538420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17261520,4695774,0,0,0,0,0,0,0,0,1
49,2022,106,Manufacture of grain and starch products,3,0,0,1,1123857545,2651740556,8,N,1,1123857545,2651740556,0,0,36683079,0,0,0,14636502,0,31468628,0,0,0,0,0,0,0,0,0,0,0,13197135,0,0,0,0,0,0,0,0,0,0,0,0,1
50,2022,649,Financial service activities,2,0,0,0,3767096,0,3,N,0,3767096,0,0,0,0,0,0,0,-53341993,0,925419,0,0,0,0,0,0,0,0,4281804,0,-78870664,0,0,0,49807339,29063325,0,0,0,0,0,0,0,0,1
51,2022,702,Activities of head offices; management consultancy activities,2,0,0,1,638415248,2873572667,7,N,1,638415248,2867646328,4051128,1875211,9170138,0,0,0,124579477,0,12718850,0,0,0,0,0,0,0,0,0,1353258,0,2904293,0,0,0,0,0,0,0,0,0,0,0,0,1
52,2022,681,Real estate activities,2,0,0,1,858842374,814386523,7,N,1,858842374,819524101,0,-5137578,34202205,3635311,0,0,34401861,0,9932695,0,0,0,0,0,0,0,0,0,0,0,9791172,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2022,422,CONSTRUCTION,2,0,0,0,4695663165,879556,1,N,0,4695663165,0,0,879556,0,71588660,0,0,-632124015,0,86949517,0,0,0,0,0,0,0,0,0,879556,0,16857407,0,0,0,0,0,0,0,0,0,0,0,0,1
54,2022,462,Import-export of agricultural raw materials and live animals,3,0,0,0,18325679,11457739,2,N,0,18325679,11457739,0,0,0,0,0,0,-8283578,400000,2824329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,2022,869,Human health and social activities,2,0,0,1,880743346,2315825345,1,N,0,880743346,2315171565,0,653780,0,777771289,0,0,-614793339,0,205549953,13397130,0,0,0,0,0,0,0,0,196422,0,186096173,0,0,0,0,0,0,0,0,0,0,0,0,1
56,2022,461,Import-export on a fee or contract basis,2,0,0,0,6900461130,36086280107,7,Y,0,6900461130,33965951619,0,2120328488,20759602,17908950,641634,0,4046636641,0,117263812,0,0,641634,0,0,0,0,0,0,0,0,12696664,0,0,0,0,0,0,0,0,0,0,0,0,1
57,2022,108,Manufacture of prepared animal feeds,3,1,0,0,82109699998,1.84E+11,5,Y,0,82109699998,1.84E+11,0,69322375,5195477897,32083781,63626382,0,-1254393332,0,2829585179,230446028,0,0,0,0,0,74357137,0,1082256457,67862528,-454238833,1837197014,0,0,2829499165,0,906116632,0,0,0,0,0,0,0,1
58,2022,360,"Water collection, treatment and supply",3,0,0,1,821877491,172218682,7,N,1,821877491,172218682,0,0,15767914,0,0,0,-25342122,0,42968079,0,0,0,0,0,0,0,0,0,0,0,41245892,0,0,26184844,0,0,0,0,0,0,0,0,0,1
59,2022,681,Real estate activities,2,0,0,1,909621597,127914250,2,N,0,909621597,127914250,0,0,12829026,0,0,0,-137439041,0,2757182,0,0,0,0,0,0,0,0,0,0,0,2757182,0,0,0,0,0,0,0,0,0,0,0,0,1
60,2022,12,Agriculture,1,0,0,0,553065362,171989512,5,N,0,553065362,171989512,0,0,97762520,44800690,0,0,6759364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21148666,82667664,95059300,506965700,0,0,0,0,0,0,1
61,2022,475,Sale of computers and electronic equipment,3,0,0,0,200000000,16175091,1,N,0,200000000,16175091,0,0,0,0,0,0,11680491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,2022,421,CONSTRUCTION,3,0,0,0,38381950,0,1,N,1,38381950,0,0,0,0,0,0,0,-1618050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,2022,702,Activities of head offices; management consultancy activities,2,0,0,0,1.09E+11,12784232,3,N,0,1.09E+11,0,0,12784232,0,0,0,0,-86107261,0,0,0,0,0,0,0,0,0,0,0,12758542,0,0,0,0,118797083,254165714,0,0,0,0,0,0,0,0,1
64,2022,239,Manufacture of products made of clay and stones,3,0,0,1,952866640,1407125675,2,N,0,952866640,1398180916,0,8944759,719851356,0,0,0,-85510995,0,124560370,0,0,0,0,0,0,0,0,0,0,0,153923868,0,0,328339835,0,0,0,0,0,0,0,0,0,1
65,2022,351,"Electric power generation, transmission and distribution",3,0,0,1,5693490819,8944618655,7,N,1,5693490819,8624262451,0,320356204,2572697640,100387860,0,0,215595353,440000,478346964,0,0,0,0,0,0,0,0,0,0,0,544623812,0,0,0,768408472,980039932,0,0,0,0,0,0,0,1
66,2022,410,CONSTRUCTION,2,0,0,0,142553274,,7,Y,0,142553274,519421053,0,0,3125092,0,0,0,50456160,0,1046694,0,0,0,0,0,0,0,0,0,0,-697836193,1046694,0,0,282320471,0,415515723,0,0,0,0,0,0,0,1
67,2022,478,Sale of computers and electronic equipment,3,0,0,1,36246727,30321600,6,N,1,36246727,30321600,0,0,0,0,0,0,9404384,0,303216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,2022,464,Import-export of food and non-alcoholic beverages,3,0,0,1,2805056191,8326878789,5,N,0,2805056191,8326878789,0,0,0,1420365,0,0,339408745,0,8854334,0,0,0,0,0,0,0,0,0,0,0,355091,0,0,0,0,6449500,0,0,0,0,0,0,0,1
